"Code","Name","Address","zip","Phone","Url","reservations y/n","order online y/n","Buy Tickets y/n","discnt coupon y/n","Maps y/n","verified"
"103","4 Seasons Racquet & Country Club","251 Racquet & Country Club Dr",65049,(573) 541-4905,"www.racquetandcountryclub.com/","n","n","n","n","n","n"
"105","4 Seasons Racquet & Country Club","251 Racquet & Country Club Dr",65049,(573) 541-4905,"www.racquetandcountryclub.com/","n","n","n","n","n","n"
"110","4 Seasons Racquet & Country Club","251 Racquet & Country Club Dr",65049,(573) 541-4905,"www.racquetandcountryclub.com/","n","n","n","n","n","n"
"612","5-65 Marina","671 Marina Rd",65020,(573) 873-5333,,"n","n","n","n","n","n"
"105","A & J Motel","814 W US Highway 54",65020,(573) 346-5777,,"n","n","n","n","n","n"
"612","Adventure Boat Rentals","30703 Rustic Rd",65072,(573) 964-1999,"www.adventureboatrentals.com","n","n","n","n","n","n"
"710","Adventure Boat Rentals","30703 Rustic Rd",65072,(573) 964-1999,"www.adventureboatrentals.com","n","n","n","n","n","n"
"802","Air Lake Aviation","957 Airport Rd",65065,(573) 348-1008,"www.airlakeaviation.com/index.html","n","n","n","n","n","n"
"203","Alberdini's Pizzaria","8758 N Mo-5",65020,(573) 873-0111,,"n","n","n","n","n","n"
"203 ","Alhonna Bobbers Restaurant","677 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"105","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"110","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"612","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"710","Alhonna Resort & Marina","665 Outer Dr",65049,(573) 365-2634,"www.alhonna.com/","n","n","n","n","n","n"
"203","Alley Cats Pizzeria & Pub","1255 Bagnell Dam Blvd",65049,(573) 964-5559,,"n","n","n","n","n","n"
"301","Alley Cats Pizzeria & Pub","1255 Bagnell Dam Blvd",65049,(573) 964-5559,,"n","n","n","n","n","n"
"710","Aloha Boat Rentals","21 McDonald Dr",65079,(573) 374-1350,,"n","n","n","n","n","n"
"710","Aloha Waverunner Rentals","847 Red Oak Ln",65079,(573) 374-5442,,"n","n","n","n","n","n"
"107","American Legion Campground","38 Legion Rd",65049,(573) 365-5118,,"n","n","n","n","n","n"
"203","Ancel & Eddy's Pizza","383 Highway P",65026,(573) 365-9122,,"n","n","n","n","n","n"
"107","Anchor Marine & Camping","10 Restful Lane",65049,(573) 365-2654,,"n","n","n","n","n","n"
"612","Anchor Marine & Camping","10 Restful Lane",65049,(573) 365-2654,,"n","n","n","n","n","n"
"202","Andre's At the Lake","1622 Horseshoe Bend Pkwy",65049,(573) 365-2800,"www.andreslakeoz.com","n","n","n","n","n","n"
"203","Andy's Hickory Pit Barbeque","105 Bunker Rd",65026,(573) 392-4099,,"n","n","n","n","n","n"
"203","Angie's Dairy Queen","717 E Jefferson Ave",65556,(573) 765-3263,,"n","n","n","n","n","n"
"203","Applebee's Neighborhood Grill","4040 Highway 54",65065,(573) 348-9595,,"n","n","n","n","n","n"
"612","Aqua Moon Marina and Boat Works Inc","17 Aschoff Rd",65026,(573) 365-0781,,"n","n","n","n","n","n"
"110","Aqua-Fin Resort","1190 Bittersweet Rd",65049,(573) 365-2605,,"n","n","n","n","n","n"
"203","Arris Pizza & Pub","3924 Jr Prewitt Pkwy",65065,(573) 348-2288,,"n","n","n","n","n","n"
"301","Arris Pizza & Pub","3924 Jr Prewitt Pkwy",65065,(573) 348-2288,,"n","n","n","n","n","n"
"203","Asian Cuisine","5203 Highway 54",65065,(573) 302-0088,,"n","n","n","n","n","n"
"203","B & B Drive-In","612 W Newton St",65084,(573) 378-6470,,"n","n","n","n","n","n"
"203","B & P Hickory Pit","314 State Road F",65079,(573) 374-4545,"http://www.bandphickorypit.com/","n","n","n","n","n","n"
"301","B & P Hickory Pit","314 State Road F",65079,(573) 374-4545,"http://www.bandphickorypit.com/","n","n","n","n","n","n"
"203","Backwater Jacks Bar & Grill","4341 Beach Dr",65065,(573) 348-6639,"http://www.bwjacks.com/","n","n","n","n","n","n"
"301","Backwater Jacks Bar & Grill","4341 Beach Dr",65065,(573) 348-6639,"http://www.bwjacks.com/","n","n","n","n","n","n"
"203","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"www.baitandbagel.com/","n","n","n","n","n","n"
"301","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"http://www.baitandbagel.com/","n","n","n","n","n","n"
"612","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"http://www.baitandbagel.com/","n","n","n","n","n","n"
"710","Bait & Bagel Marina","39 Knox Rd",65072,(573) 964-0510,"http://www.baitandbagel.com/","n","n","n","n","n","n"
"203","Bambooze Bar & Grill","30 Oasis Cir",65079,(573) 374-4790,,"n","n","n","n","n","n"
"301","Bambooze Bar & Grill","30 Oasis Cir",65079,(573) 374-4790,,"n","n","n","n","n","n"
"203","Bandana's Bar-B-Q","4315 Highway 54",65065,(573) 302-4500,,"n","n","n","n","n","n"
"612","Barnes Marine Service","415 Highway 42",65047,(573) 348-3441,,"n","n","n","n","n","n"
"102","Bass & Baskets Bed & Breakfast","1117 Dogwood Rd",65049,(573) 964-5028,"www.bassandbaskets.com/","n","n","n","n","n","n"
"103","Bass Point Resort","33510 Bass Point Rd",65037,(573) 374-5205,"www.basspoint.com/","n","n","n","n","n","n"
"110","Bass Point Resort","33510 Bass Point Rd",65037,(573) 374-5205,"http://www.basspoint.com/","n","n","n","n","n","n"
"203","Baxter's Lakeside Grill","2124 Bagnell Bad Blvd",65049,(573) 365-2669,,"n","n","n","n","n","n"
"110","Bay Ridge Resort","141 Bay Ridge Rd",65079,(573) 374-5320,,"n","n","n","n","n","n"
"103","Bay Ridge Resort","141 Bay Ridge Rd",65079,(573) 374-5320,,"n","n","n","n","n","n"
"607","Bay View Golf Course","364 Sylvan Bay Dr",65052,(573) 346-6617,,"n","n","n","n","n","n"
"105","Baymont Inn","3501 Bagnell Dam Blvd",65049,(573) 365-2700,"www.baymontinns.com/Baymont/control/home","n","n","n","n","n","n"
"110","Baymont Inn","3501 Bagnell Dam Blvd",65049,(573) 365-2700,"http://www.baymontinns.com/Baymont/control/home","n","n","n","n","n","n"
"611","Baywatch Parasail","5020 W Hwy 54",65049,(573) 365-9595,,"n","n","n","n","n","n"
"110","Beachcomber Resort","300 Thornsberry Rd",65049,(573) 365-2359,,"n","n","n","n","n","n"
"110","Beachwoods Resort & Marina","29626 Coffman Beach Rd",65072,(573) 365-0320,,"n","n","n","n","n","n"
"612","Beachwoods Resort & Marina","29626 Coffman Beach Rd",65072,(573) 365-0320,,"n","n","n","n","n","n"
"203","Bear Creek Valley","910 E Highway 42",65065,(573) 302-1000,"http://bearcreekvalley.com/","n","n","n","n","n","n"
"301","Bear Creek Valley","910 E Highway 42",65065,(573) 302-1000,"http://bearcreekvalley.com/","n","n","n","n","n","n"
